CNES - Recursos Físicos - Hospitalar - Leitos Complementares - Rio Grande do Sul
Quantidade existente por Município e Leitos complementares
Período:Fev/2020
"Município";"Unidade intermediária neonatal";"Unidade isolamento";"UTI adulto I";"UTI adulto II";"UTI adulto III";"UTI pediátrica II";"UTI pediátrica III";"UTI neonatal I";"UTI neonatal II";"UTI neonatal III";"UTI de Queimados";"UTI coronariana tipo II -UCO tipo II";"UTI coronariana tipo III - UCO tipo III";"Unidade de cuidados intermed neonatal convencional";"Unidade de cuidados intermed neonatal canguru";"Unidade de cuidados intermed pediatrico";"Unidade de cuidados intermed adulto";"Total"
"430590 Coronel Bicaco";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"430610 Cruz Alta";-;-;5;10;-;-;-;-;-;-;-;-;-;-;-;-;-;15
"430620 Cruzeiro do Sul";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"430640 Dois Irmãos";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"430660 Dom Pedrito";-;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
"430700 Erechim";-;-;-;19;-;10;-;-;13;-;-;-;-;-;-;-;-;42
"430750 Espumoso";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"430770 Esteio";-;-;-;8;-;-;-;-;5;-;-;-;-;3;2;-;-;18
"430780 Estrela";-;-;-;10;-;-;-;-;10;-;-;-;-;-;-;-;-;20
"430790 Farroupilha";-;-;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;10
"430800 Faxinal do Soturno";-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"430820 Flores da Cunha";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"430850 Frederico Westphalen";3;3;-;10;-;-;-;-;-;-;-;-;-;2;2;2;2;24
"430860 Garibaldi";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"430910 Gramado";-;-;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;10
"430920 Gravataí";-;-;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;10
"430930 Guaíba";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"430960 Horizontina";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"431020 Ijuí";-;9;10;24;-;4;-;6;16;-;-;4;-;-;-;-;-;73
"431050 Iraí";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"431060 Itaqui";-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"431100 Jaguarão";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"431110 Jaguari";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"431130 Lagoa Vermelha";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"431140 Lajeado";-;7;-;20;-;4;-;-;7;-;-;-;-;-;-;-;-;38
"431205 Marques de Souza";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"431220 Maximiliano de Almeida";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"431240 Montenegro";-;6;-;19;-;-;-;4;-;-;-;-;-;3;-;-;-;32
"431250 Mostardas";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"431290 Nova Bassano";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"431320 Nova Petrópolis";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"431340 Novo Hamburgo";-;-;5;29;10;6;-;-;27;-;-;-;-;10;5;1;-;93
"431350 Osório";-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;5
"431360 Paim Filho";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"431370 Palmeira das Missões";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2
"431390 Panambi";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;3
"431400 Paraí";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"431402 Paraíso do Sul";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"431410 Passo Fundo";-;-;9;60;10;13;-;2;30;-;-;-;-;10;5;-;-;139
"431430 Pejuçara";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"431440 Pelotas";-;16;5;67;-;10;-;-;19;-;-;-;-;10;5;-;-;132
"431450 Pinheiro Machado";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"431460 Piratini";-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"431470 Planalto";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"431490 Porto Alegre";-;118;42;117;451;35;100;15;48;97;4;-;8;102;45;-;90;1272
"431510 Porto Xavier";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"431515 Progresso";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"431560 Rio Grande";-;5;-;34;-;10;-;-;10;-;-;2;-;9;3;2;4;79
"431570 Rio Pardo";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;4
"431610 Ronda Alta";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"431620 Rondinha";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"431630 Roque Gonzales";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"431640 Rosário do Sul";-;-;-;8;-;-;-;-;-;-;-;-;-;-;-;-;-;8
"431660 Sananduva";-;-;-;10;-;-;-;-;-;-;-;-;-;-;-;-;5;15
"431710 Sant'Ana do Livramento";-;2;10;10;-;-;-;-;-;-;-;-;-;-;-;-;-;22
"431680 Santa Cruz do Sul";-;-;-;7;10;4;-;-;8;-;-;-;-;10;5;-;-;44
"431690 Santa Maria";-;-;-;56;40;14;-;-;20;-;-;-;-;10;5;-;-;145
"431720 Santa Rosa";-;-;4;20;-;10;-;-;10;-;-;-;-;-;-;-;-;44
"431730 Santa Vitória do Palmar";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;2
"431740 Santiago";-;-;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;10
"431750 Santo Ângelo";-;2;-;17;-;-;-;-;10;-;-;-;-;-;6;-;-;35
"431800 São Borja";-;-;-;9;-;-;-;-;-;-;-;-;-;-;-;2;6;17
"431830 São Gabriel";-;-;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;10
"431840 São Jerônimo";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"431870 São Leopoldo";-;3;1;9;-;-;-;-;8;-;-;-;-;1;1;-;-;23
"431890 São Luiz Gonzaga";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"431915 São Miguel das Missões";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"431990 Sapiranga";-;2;-;7;-;-;-;-;10;-;-;-;-;-;-;-;-;19
"432000 Sapucaia do Sul";-;-;-;10;-;-;-;-;-;-;-;-;-;6;3;-;20;39
"432010 Sarandi";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"432020 Seberi";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"432050 Sertão";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"432067 Sinimbu";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"432070 Sobradinho";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"432090 Tapejara";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"432110 Tapes";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"432120 Taquara";-;-;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;10
"432130 Taquari";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"432140 Tenente Portela";-;-;-;10;-;-;-;-;-;-;-;-;-;10;5;-;-;25
"432150 Torres";-;2;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"432160 Tramandaí";-;2;-;10;-;-;-;-;10;-;-;-;-;8;4;-;10;44
"432180 Três de Maio";-;1;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"432190 Três Passos";-;-;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;10
"432195 Trindade do Sul";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"432230 Tuparendi";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;3
"432240 Uruguaiana";-;4;-;20;-;-;-;-;8;-;-;-;-;10;5;2;-;49
"432250 Vacaria";-;-;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;10
"432253 Vale do Sol";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"432260 Venâncio Aires";-;-;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;10
"432270 Vera Cruz";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"432290 Viadutos";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"432300 Viamão";-;-;-;15;-;-;-;-;-;-;-;-;-;-;-;-;-;15
"Total";3;292;111;961;558;154;115;27;359;134;4;10;8;234;117;14;151;3252
 Fonte: Ministério da Saúde - Cadastro Nacional dos Estabelecimentos de Saúde do Brasil - CNES
 Nota:
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
 
 Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
 De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
 A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
 
