"Últ Atualização","Região Covid","Município","Cód IBGE","Município","Leitos","Pacientes","Taxa Ocupação","Confirmados","Suspeitos"
"11/05/2020 08:19","Caxias Do Sul - R23 R24 R25 R26","Farroupilha","2240335","Hospital Sao Carlos","10","4","40%","0","1"
"11/05/2020 08:20","Uruguaiana - R03","Itaqui","2248271","Hospital Sao Patricio De Itaqui","0","0","-","0","0"
"11/05/2020 08:24","Pelotas - R21","Pelotas","2253054","Santa Casa De Misericordia De Pelotas","17","16","94.1%","0","0"
"11/05/2020 08:25","Palmeira Das Missoes - R15 R20","Planalto","2228556","Hospital Medianeira Planalto","0","0","-","0","0"
"11/05/2020 08:25","Santa Maria - R01 R02","Sao Francisco De Assis","2244330","Hospital Santo Antonio","0","0","-","0","0"
"11/05/2020 08:25","Porto Alegre - R09 R10","Charqueadas","9528792","Hospital De Charqueadas","0","0","-","0","0"
"11/05/2020 08:26","Santa Maria - R01 R02","Formigueiro","2244217","Hospital Municipal Pedro Calil","0","0","-","0","0"
"11/05/2020 08:27","Santa Maria - R01 R02","Paraiso Do Sul","2234467","Unidade Mista Hospital Paraiso","0","0","-","0","0"
"11/05/2020 08:27","Erechim - R16","Erechim","2249669","Hospital Unimed Erechim","0","0","-","0","0"
"11/05/2020 08:35","Cruz Alta - R12","Selbach","2238810","Hospital Sao Jacob","0","0","-","0","0"
"11/05/2020 08:36","Santo Angelo - R11","Porto Xavier","2259982","Hospital De Porto Xavier","0","0","-","0","0"
"11/05/2020 08:37","Cruz Alta - R12","Ibiruba","5395674","Hospital Annes Dias","0","0","-","0","0"
"11/05/2020 08:38","Canoas - R08","Sao Sebastiao Do Cai","2227908","Hospital Sagrada Familia","0","0","-","0","0"
"11/05/2020 08:43","Caxias Do Sul - R23 R24 R25 R26","Sao Marcos","2241226","Hospital Beneficente Sao Joao Bosco","0","0","-","0","0"
"11/05/2020 08:44","Capao Da Canoa - R04 R05","Osorio","2257815","Hospital Sao Vicente De Paulo","10","2","20%","1","1"
"11/05/2020 08:45","Lajeado - R29 R30","Serio","2252066","Hospital Sao Jose Serio","0","0","-","0","0"
"11/05/2020 08:49","Pelotas - R21","Arroio Grande","2233428","Santa Casa De Misericordia De Arroio Grande","0","0","-","0","0"
"11/05/2020 08:50","Porto Alegre - R09 R10","Viamao","5223962","Instituto De Cardiologia Hospital Viamao","15","13","86.7%","0","2"
"11/05/2020 08:53","Santa Rosa - R14","Santa Rosa","2254611","Hospital Vida Saude","10","10","100%","0","0"
"11/05/2020 08:53","Caxias Do Sul - R23 R24 R25 R26","Canela","2235609","Hospital De Canela","0","0","-","0","0"
"11/05/2020 08:54","Santa Rosa - R14","Santa Rosa","3017060","Hospital Vida Saude","10","7","70%","2","5"
"11/05/2020 08:56","Caxias Do Sul - R23 R24 R25 R26","Caxias Do Sul","2223570","Hospital Do Circulo","18","3","16.7%","0","0"
"11/05/2020 08:57","Passo Fundo - R17 R18 R19","Serafina Correa","2260050","Hospital Nossa Senhora Do Rosario","0","0","-","0","0"
"11/05/2020 08:58","Pelotas - R21","Pinheiro Machado","2233320","Hospital Pinheiro Machado","0","0","-","0","0"
"11/05/2020 08:59","Ijui - R13","Ijui","2261057","Hospital De Caridade De Ijui","20","20","100%","0","1"
"11/05/2020 09:01","Ijui - R13","Chiapetta","2261103","Hospital De Chiapetta","0","0","-","0","0"
"11/05/2020 09:05","Uruguaiana - R03","Rosario Do Sul","2248239","Hospital Auxiliadora","8","6","75%","0","0"
"11/05/2020 09:06","Ijui - R13","Ijui","3506959","Hospital Unimed","6","5","83.3%","0","0"
"11/05/2020 09:09","Lajeado - R29 R30","Bom Retiro Do Sul","2252023","Hospital De Caridade Santana Bom Retiro Do Sul","0","0","-","0","0"
"11/05/2020 09:11","Novo Hamburgo - R07","Portao","2232170","Hospital De Portao","0","0","-","0","0"
"11/05/2020 09:12","Santa Maria - R01 R02","Cacequi","5699525","Asso","0","0","-","0","0"
"11/05/2020 09:15","Caxias Do Sul - R23 R24 R25 R26","Caxias Do Sul","2223546","Hospital Pompeia","30","24","80%","2","2"
"11/05/2020 09:17","Lajeado - R29 R30","Nova Brescia","2252112","Hospital Sao Joao Batista Nova Brescia","0","0","-","0","0"
"11/05/2020 09:18","Santa Maria - R01 R02","Santiago","2244357","Hospital De Caridade De Santiago","10","8","80%","1","0"
"11/05/2020 09:23","Ijui - R13","Pejucara","2261138","Hospital Pejucara","0","0","-","0","0"
"11/05/2020 09:25","Porto Alegre - R09 R10","Butia","2265958","Hospital De Butia","0","0","-","0","0"
"11/05/2020 09:25","Santa Maria - R01 R02","Pinhal Grande","2244209","Casa De Saude Sao Jose","0","0","-","0","0"
"11/05/2020 09:25","Porto Alegre - R09 R10","Porto Alegre","2237156","Hbmpa","20","1","5%","0","0"
"11/05/2020 09:28","Passo Fundo - R17 R18 R19","Nao-me-toque","2246910","Hospital Alto Jacui Nao Me Toque","0","0","-","0","0"
"11/05/2020 09:29","Cachoeira Do Sul - R27","Sobradinho","2234408","Hospital Dr Homero Menezes","0","0","-","0","0"
"11/05/2020 09:30","Cachoeira Do Sul - R27","Sobradinho","6560830","Fundacao Dr Homero Lima Menezes","0","0","-","0","0"
"11/05/2020 09:33","Santa Maria - R01 R02","Santa Maria","2244365","Hospital Da Base Aerea","0","0","-","0","0"
"11/05/2020 09:33","Erechim - R16","Estacao","2249626","Hospital Santo Antonio Estacao","0","0","-","0","0"
"11/05/2020 09:34","Uruguaiana - R03","Sant'ana Do Livramento","3913392","Centro Hospitalar Santanense Ltda","0","0","-","0","0"
"11/05/2020 09:52","Santa Rosa - R14","Porto Lucena","2250810","Hospital Sao Jose Porto Lucena Rs","0","0","-","0","0"
"11/05/2020 09:55","Passo Fundo - R17 R18 R19","Passo Fundo","2246929","Hospital De Clinicas De Passo Fundo","33","28","84.8%","6","3"
"11/05/2020 09:57","Taquara - R06","Cambara Do Sul","5602742","Fundacao Hospitalar Sao Jose","0","0","-","0","0"
"11/05/2020 09:57","Capao Da Canoa - R04 R05","Capao Da Canoa","2707969","Hospital Beneficiente Santa Luzia","10","10","100%","0","0"
"11/05/2020 09:58","Taquara - R06","Riozinho","2227703","Hospital Nossa Senhora Do Rosario De Riozinho","0","0","-","0","0"
"11/05/2020 10:01","Santo Angelo - R11","Santo Angelo","7151888","Hospital Regional Unimed Missoes","7","2","28.6%","0","0"
"11/05/2020 10:08","Caxias Do Sul - R23 R24 R25 R26","Guapore","2793237","Associacao Hospitalar Manoel Francisco Guerreiro","0","0","-","0","0"
"11/05/2020 10:09","Santa Maria - R01 R02","Nova Palma","2244128","Hospital Nossa Senhora Da Piedade","0","0","-","0","0"
"11/05/2020 10:10","Santa Cruz Do Sul - R28","Vale Do Sol","2236338","Hospital Vale Do Sol","0","0","-","0","0"
"11/05/2020 10:10","Capao Da Canoa - R04 R05","Santo Antonio Da Patrulha","6389104","Hospital De Santo Antonio Da Patrulha","0","0","-","0","0"
"11/05/2020 10:12","Santa Rosa - R14","Santo Cristo","2250829","Hospital De Caridade De Santo Cristo","0","0","-","0","0"
"11/05/2020 10:13","Caxias Do Sul - R23 R24 R25 R26","Caxias Do Sul","2223597","Hospital Saude","10","6","60%","0","0"
"11/05/2020 10:20","Pelotas - R21","Rio Grande","2707675","Hospital Universitario Dr Miguel Riet Correa Jr","6","3","50%","0","0"
"11/05/2020 10:27","Santa Maria - R01 R02","Santa Maria","2244292","Hospital Sao Francisco De Assis","10","3","30%","0","0"
"11/05/2020 10:29","Canoas - R08","Canoas","2232014","Hospital Nossa Senhora Das Gracas","28","26","92.9%","0","0"
"11/05/2020 10:29","Uruguaiana - R03","Uruguaiana","2248190","Santa Casa De Uruguaiana","16","8","50%","0","0"
"11/05/2020 10:35","Taquara - R06","Parobe","2227762","Hospital Sao Francisco De Assis","0","0","-","0","0"
"11/05/2020 10:36","Lajeado - R29 R30","Encantado","2252228","Hospital Santa Teresinha Encantado","0","0","-","0","0"
"11/05/2020 10:38","Palmeira Das Missoes - R15 R20","Ronda Alta","2235412","Hospital Dos Trabalhadores Atra","0","0","-","0","0"
"11/05/2020 10:38","Passo Fundo - R17 R18 R19","Sertao","2246805","Hospital Sao Jose Sertao","0","0","-","0","0"
"11/05/2020 10:39","Caxias Do Sul - R23 R24 R25 R26","Garibaldi","2257645","Hospital Sao Pedro","0","0","-","0","0"
"11/05/2020 10:44","Santa Rosa - R14","Campina Das Missoes","2250802","Hospital Campina","0","0","-","0","0"
"11/05/2020 10:46","Capao Da Canoa - R04 R05","Palmares Do Sul","2224607","Hospital Sao Jose","0","0","-","0","0"
"11/05/2020 10:48","Passo Fundo - R17 R18 R19","Tapera","2246783","Hospital Roque Gonzales Tapera","0","0","-","0","0"
"11/05/2020 10:48","Erechim - R16","Nonoai","2228688","Hospital Comunitario Nonoai","0","0","-","0","0"
"11/05/2020 10:49","Santo Angelo - R11","Sao Miguel Das Missoes","2259877","Hospital Sao Miguel Arcanjo","0","0","-","0","0"
"11/05/2020 10:50","Taquara - R06","Taquara","2227932","Hospital Bom Jesus","10","6","60%","0","1"
"11/05/2020 10:56","Caxias Do Sul - R23 R24 R25 R26","Gramado","2241153","Hospital Arcanjo Sao Miguel","10","8","80%","0","0"
"11/05/2020 10:56","Canoas - R08","Salvador Do Sul","2227681","Hospital Sao Salvador","0","0","-","0","0"
"11/05/2020 10:59","Novo Hamburgo - R07","Novo Hamburgo","2232146","Fundacao De Saude Publica De Novo Hamburgo Fsnh","10","10","100%","2","0"
"11/05/2020 10:59","Cruz Alta - R12","Quinze De Novembro","2263831","Associacao Hospitalar 15 De Novembro","0","0","-","0","0"
"11/05/2020 11:07","Canoas - R08","Sapucaia Do Sul","2232162","Fundacao Hospitalar De Sapucaia Do Sul","10","6","60%","0","1"
"11/05/2020 11:09","Porto Alegre - R09 R10","Porto Alegre","9570047","Hospital Bdw","2","0","0%","0","0"
"11/05/2020 11:10","Canoas - R08","Esteio","2232030","Fundacao De Saude Publica Sao Camilo De Esteio","8","6","75%","0","0"
"11/05/2020 11:15","Pelotas - R21","Pelotas","2252694","Hospital Escola Da Universidade Federal De Pelotas","11","6","54.5%","0","0"
"11/05/2020 11:17","Porto Alegre - R09 R10","Cachoeirinha","2232103","Hospital Padre Jeremias","0","0","-","0","0"
"11/05/2020 11:26","Santo Angelo - R11","Cerro Largo","2259869","Hospital De Caridade Serro Azul","0","0","-","0","0"
"11/05/2020 11:32","Santo Angelo - R11","Sao Luiz Gonzaga","2259893","Hospital Sao Luiz Gonzaga","0","0","-","0","0"
"11/05/2020 11:33","Pelotas - R21","Pedro Osorio","2233339","Santa Casa De Misericordia De Pedro Osorio","0","0","-","0","0"
"11/05/2020 11:34","Porto Alegre - R09 R10","Gravatai","2232049","Hospital Dom Joao Becker","10","9","90%","0","0"
"11/05/2020 11:37","Bage - R22","Bage","2261995","Hospital Universitario Urcamp","0","0","-","0","0"
"11/05/2020 11:41","Santa Cruz Do Sul - R28","Santa Cruz Do Sul","2254964","Hospital Santa Cruz","10","7","70%","1","0"
"11/05/2020 11:45","Passo Fundo - R17 R18 R19","Espumoso","2246813","Hospital Notre Dame Sao Sebastiao","0","0","-","0","0"
"11/05/2020 11:51","Santo Angelo - R11","Roque Gonzales","2259974","Hospital Santo Antonio Roque Gonzales","0","0","-","0","0"
"11/05/2020 11:51","Santa Rosa - R14","Tucunduva","5050170","Hospital Dr Osvaldo Teixeira","0","0","-","0","0"
"11/05/2020 11:56","Cruz Alta - R12","Saldanha Marinho","2263874","Hospital Municipal Saldanha Marinho","0","0","-","0","0"
"11/05/2020 11:57","Cachoeira Do Sul - R27","Cachoeira Do Sul","2266474","Hospital De Caridade E Beneficencia","10","6","60%","1","0"
"11/05/2020 12:03","Lajeado - R29 R30","Roca Sales","2252147","Sociedade Beneficente Roque Gonzales","0","0","-","0","0"
"11/05/2020 12:05","Santa Maria - R01 R02","Santa Maria","5433509","Hospital Geral Unimed","0","0","-","0","0"
"11/05/2020 12:06","Lajeado - R29 R30","Boqueirao Do Leao","2252058","Hosp Dr Anuar Elias Aesse Boqueirao Do Leao","0","0","-","0","0"
"11/05/2020 12:15","Santa Maria - R01 R02","Mata","2244187","Hospital De Mata","0","0","-","0","0"
"11/05/2020 12:20","Santa Maria - R01 R02","Santa Maria","9575936","Hospital Regional De Santa Maria","5","3","60%","0","3"
"11/05/2020 12:21","Caxias Do Sul - R23 R24 R25 R26","Bom Jesus","6011926","Hospital De Bom Jesus","0","0","-","0","0"
"11/05/2020 12:21","Lajeado - R29 R30","Teutonia","2252244","Hospital Ouro Branco","0","0","-","0","0"
"11/05/2020 12:22","Porto Alegre - R09 R10","Porto Alegre","7092571","Hospital Independencia","10","7","70%","0","0"
"11/05/2020 12:24","Caxias Do Sul - R23 R24 R25 R26","Bom Principio","2241129","Hospital Sao Pedro Canisio","0","0","-","0","0"
"11/05/2020 12:29","Porto Alegre - R09 R10","Porto Alegre","5026253","Hospital Porto Alegre","17","7","41.2%","1","1"
"11/05/2020 12:29","Santa Rosa - R14","Tres De Maio","2250837","Hospital Sao Vicente De Paulo","6","5","83.3%","0","0"
"11/05/2020 12:30","Novo Hamburgo - R07","Sapiranga","2232154","Hospital Sapiranga","7","7","100%","0","1"
"11/05/2020 12:31","Santa Rosa - R14","Alecrim","2707993","Hospital De Caridade De Alecrim","0","0","-","0","0"
"11/05/2020 12:32","Erechim - R16","Erechim","2707918","Fundacao Hospitalar Santa Terezinha De Erechim","16","14","87.5%","5","0"
"11/05/2020 12:33","Uruguaiana - R03","Sao Gabriel","2248204","Santa Casa De Sao Gabriel","12","10","83.3%","0","0"
"11/05/2020 12:35","Porto Alegre - R09 R10","Porto Alegre","2778718","Hps","20","14","70%","0","0"
"11/05/2020 12:35","Novo Hamburgo - R07","Novo Hamburgo","2232057","Hospital Regina Novo Hamburgo","17","9","52.9%","1","1"
"11/05/2020 12:38","Caxias Do Sul - R23 R24 R25 R26","Caxias Do Sul","3356868","Hospital Unimed Caxias Do Sul","20","17","85%","1","3"
"11/05/2020 12:39","Caxias Do Sul - R23 R24 R25 R26","Caxias Do Sul","9728317","Hospital Unimed Unidade Materno Infantil","0","0","-","0","0"
"11/05/2020 12:42","Palmeira Das Missoes - R15 R20","Ametista Do Sul","2228629","Hospital Sao Gabriel Ametista Do Sul","0","0","-","0","0"
"11/05/2020 12:45","Santa Cruz Do Sul - R28","Santa Cruz Do Sul","2255936","Hospital Ana Nery","7","5","71.4%","0","1"
"11/05/2020 12:47","Palmeira Das Missoes - R15 R20","Tres Passos","2228726","Hospital Caridade Tres Passos","10","7","70%","0","0"
"11/05/2020 12:52","Porto Alegre - R09 R10","Porto Alegre","3006522","Hospital Moinhos De Vento","56","35","62.5%","3","0"
"11/05/2020 12:54","Ijui - R13","Sao Martinho","2707608","Hospital De Caridade De Sao Martinho","0","0","-","0","0"
"11/05/2020 13:03","Santa Cruz Do Sul - R28","Candelaria","2236362","Hospital Candelaria","0","0","-","0","0"
"11/05/2020 13:03","Santa Rosa - R14","Sao Paulo Das Missoes","2250713","Hospital De Caridade Sao Paulo Sao Paulo Das Missoes","0","0","-","0","0"
"11/05/2020 13:03","Porto Alegre - R09 R10","Porto Alegre","2237601","Hospital De Clinicas","82","64","78%","11","4"
"11/05/2020 13:07","Cruz Alta - R12","Santa Barbara Do Sul","2263890","Hospital Santa Barbara Beneficente","0","0","-","0","0"
"11/05/2020 13:09","Canoas - R08","Montenegro","2257556","Hospital Montenegro","10","10","100%","0","0"
"11/05/2020 13:09","Palmeira Das Missoes - R15 R20","Rondinha","2235447","Hospital Padre Eugenio","0","0","-","0","0"
"11/05/2020 13:13","Novo Hamburgo - R07","Sao Leopoldo","2232022","Hospital Centenario","10","8","80%","0","2"
"11/05/2020 13:19","Ijui - R13","Condor","2261111","Hospital De Condor","0","0","-","0","0"
"11/05/2020 13:19","Pelotas - R21","Rio Grande","2232995","Santa Casa Do Rio Grande","30","20","66.7%","1","5"
"11/05/2020 13:21","Cachoeira Do Sul - R27","Arroio Do Tigre","2234424","Hospital Santa Rosa De Lima","0","0","-","0","0"
"11/05/2020 13:24","Santa Rosa - R14","Candido Godoi","2250675","Hospital Santo Afonso","0","0","-","0","0"
"11/05/2020 13:24","Santa Maria - R01 R02","Sao Pedro Do Sul","2244314","Hospital Municipal De Sao Pedro Do Sul","0","0","-","0","0"
"11/05/2020 13:24","Porto Alegre - R09 R10","Porto Alegre","2265060","Hospital Cristo Redentor","47","27","57.4%","0","0"
"11/05/2020 13:25","Passo Fundo - R17 R18 R19","Sananduva","2246767","Hospital Sao Joao Sananduva","0","0","-","0","0"
"11/05/2020 13:26","Caxias Do Sul - R23 R24 R25 R26","Parai","2241218","Hospital Beneficente Nossa Senhora Aparecida","0","0","-","0","0"
"11/05/2020 13:28","Porto Alegre - R09 R10","Porto Alegre","6295320","Aesc Hospital Santa Ana","10","9","90%","0","0"
"11/05/2020 13:31","Porto Alegre - R09 R10","Porto Alegre","3007847","Hospital Mae De Deus","50","40","80%","0","5"
"11/05/2020 13:32","Lajeado - R29 R30","Cruzeiro Do Sul","2252074","Hospital Sao Gabriel Arcanjo","0","0","-","0","0"
"11/05/2020 13:33","Cachoeira Do Sul - R27","Segredo","2234475","Hospital Sao Joao Evangelista","0","0","-","0","0"
"11/05/2020 13:34","Porto Alegre - R09 R10","Porto Alegre","2693801","Associacao Hospitalar Vila Nova","20","17","85%","0","0"
"11/05/2020 13:34","Ijui - R13","Humaita","2265893","Hospital Adesco","0","0","-","0","0"
"11/05/2020 13:35","Cachoeira Do Sul - R27","Cacapava Do Sul","2234416","Hospital De Caridade Dr Victor Lang","0","0","-","0","0"
"11/05/2020 13:37","Porto Alegre - R09 R10","Porto Alegre","2265052","Hospital Femina","4","0","0%","0","0"
"11/05/2020 13:38","Palmeira Das Missoes - R15 R20","Sarandi","2235404","Hospital Comunitario Sarandi","0","0","-","0","0"
"11/05/2020 13:39","Santa Cruz Do Sul - R28","Venancio Aires","2236370","Hospital Sao Sebastiao Martir","10","13","130%","5","1"
"11/05/2020 13:39","Pelotas - R21","Herval","2233436","Hospital Nossa Senhora Da Gloria","0","0","-","0","0"
"11/05/2020 13:40","Ijui - R13","Santo Augusto","2261065","Hospital Bom Pastor","0","0","-","0","0"
"11/05/2020 13:40","Palmeira Das Missoes - R15 R20","Trindade Do Sul","2235366","Sociedade Cultural E Beneficente Santa Rosa De Lima","0","0","-","0","0"
"11/05/2020 13:41","Caxias Do Sul - R23 R24 R25 R26","Nova Prata","2241161","Hospital Sao Joao Batista","0","0","-","0","0"
"11/05/2020 13:44","Porto Alegre - R09 R10","Camaqua","2257548","Hospital Nossa Senhora Aparecida De Camaqua","0","0","-","0","0"
"11/05/2020 13:45","Porto Alegre - R09 R10","Porto Alegre","2237849","Instituto De Cardiologia","51","28","54.9%","0","0"
"11/05/2020 13:45","Erechim - R16","Erechim","2249472","Hospital De Caridade De Erechim","8","2","25%","1","0"
"11/05/2020 13:47","Taquara - R06","Rolante","2257564","Fundacao Hospitalar De Rolante","0","0","-","0","0"
"11/05/2020 13:48","Palmeira Das Missoes - R15 R20","Ronda Alta","2235420","Associacao Hospitalar De Ronda Alta","0","0","-","0","0"
"11/05/2020 13:51","Porto Alegre - R09 R10","Porto Alegre","2237598","Hospital Divina Providencia","12","11","91.7%","1","0"
"11/05/2020 13:56","Caxias Do Sul - R23 R24 R25 R26","Flores Da Cunha","2241145","Hospital Fatima","0","0","-","0","0"
"11/05/2020 13:56","Palmeira Das Missoes - R15 R20","Chapada","2235307","Hospital Sao Jose Chapada","0","0","-","0","0"
"11/05/2020 13:58","Porto Alegre - R09 R10","Porto Alegre","3567664","Hospital Ernesto Dornelles","40","26","65%","6","5"
"11/05/2020 13:58","Santa Maria - R01 R02","Santa Maria","2244306","Husm Hospital Universitario De Santa Maria","14","12","85.7%","7","0"
"11/05/2020 13:59","Santa Maria - R01 R02","Agudo","2234386","Hospital Agudo","0","0","-","0","0"
"11/05/2020 14:00","Caxias Do Sul - R23 R24 R25 R26","Bento Goncalves","2241021","Hospital Tacchini","30","28","93.3%","15","3"
"11/05/2020 14:02","Porto Alegre - R09 R10","Porto Alegre","2237253","Irmandade Da Santa Casa De Misericordia De Porto Alegre","87","64","73.6%","0","0"
"11/05/2020 14:07","Passo Fundo - R17 R18 R19","Marau","9131981","Hospital Sao Lucas","0","0","-","0","0"
"11/05/2020 14:08","Porto Alegre - R09 R10","Porto Alegre","2237822","Hospital Materno Infantil Presidente Vargas","0","0","-","0","0"
"11/05/2020 14:10","Caxias Do Sul - R23 R24 R25 R26","Carlos Barbosa","2241137","Hospital Sao Roque","0","0","-","0","0"
"11/05/2020 14:10","Passo Fundo - R17 R18 R19","Paim Filho","2247046","Hospital Santa Terezinha Paim Filho","0","0","-","0","0"
"11/05/2020 14:11","Porto Alegre - R09 R10","Porto Alegre","2262568","Hospital Sao Lucas Da Pucrs","59","42","71.2%","3","2"
"11/05/2020 14:13","Pelotas - R21","Piratini","2233347","Hospital De Caridade Nossa Senhora Da Conceicao Piratini","0","0","-","0","0"
"11/05/2020 14:14","Novo Hamburgo - R07","Novo Hamburgo","3213943","Hospital Unimed","7","6","85.7%","0","1"
"11/05/2020 14:15","Cachoeira Do Sul - R27","Encruzilhada Do Sul","2234432","Hospital Santa Barbara","0","0","-","0","0"
"11/05/2020 14:20","Taquara - R06","Tres Coroas","2257467","Hospital Dr Oswaldo Diesel","0","0","-","0","0"
"11/05/2020 14:25","Passo Fundo - R17 R18 R19","David Canabarro","2246937","Hospital Sao Jose David Canabarro","0","0","-","0","0"
