"Últ Atualização","Região Covid","Município","Cód","Hospital","Leitos","Pacientes","Taxa Ocupação","Confirmados","Suspeitos"
"04/05/2020 18:19","Caxias Do Sul - R23 R24 R25 R26","Caxias Do Sul","2223570","Hospital Do Circulo","18","6","33.3%","0","0"
"04/05/2020 18:07","Cruz Alta - R12","Cruz Alta","2263823","Hospital Santa Lucia Ltda","12","5","41.7%","0","0"
"04/05/2020 18:06","Capao Da Canoa - R04 R05","Palmares Do Sul","2224607","Hospital Sao Jose","0","0","-","0","0"
"04/05/2020 18:05","Santa Maria - R01 R02","Santa Maria","2244276","Hospital De Caridade Astrogildo De Azevedo","40","29","72.5%","0","3"
"04/05/2020 18:02","Passo Fundo - R17 R18 R19","Tapejara","2246740","Hospital Santo Antonio","0","0","-","0","0"
"04/05/2020 17:59","Palmeira Das Missoes - R15 R20","Coronel Bicaco","2235382","Assoc Hosp Santo Antonio De Padua","0","0","-","0","0"
"04/05/2020 17:52","Ijui - R13","Sao Martinho","2707608","Hospital De Caridade De Sao Martinho","0","0","-","0","0"
"04/05/2020 17:49","Santo Angelo - R11","Sao Luiz Gonzaga","2259893","Hospital Sao Luiz Gonzaga","0","0","-","0","0"
"04/05/2020 17:45","Passo Fundo - R17 R18 R19","Carazinho","2262274","Hospital Comunitario De Carazinho","7","6","85.7%","0","1"
"04/05/2020 17:41","Passo Fundo - R17 R18 R19","Casca","2246872","Hospital Santa Lucia Casca","0","0","-","0","0"
"04/05/2020 17:38","Canoas - R08","Triunfo","2227673","Hospital De Caridade Santa Rita","0","0","-","0","0"
"04/05/2020 17:35","Cachoeira Do Sul - R27","Segredo","2234475","Hospital Sao Joao Evangelista","0","0","-","0","0"
"04/05/2020 17:32","Palmeira Das Missoes - R15 R20","Sarandi","2235404","Hospital Comunitario Sarandi","0","0","-","0","0"
"04/05/2020 17:30","Palmeira Das Missoes - R15 R20","Alpestre","2228564","Hospital Nossa Senhora","0","0","-","0","0"
"04/05/2020 17:19","Canoas - R08","Canoas","3626245","Hospital Pronto Socorro De Canoas Dep Nelson Marchezan","10","9","90%","0","0"
"04/05/2020 17:19","Cruz Alta - R12","Fortaleza Dos Valos","2263866","Hospital Municipal Bom Pastor","0","0","-","0","0"
"04/05/2020 17:11","Capao Da Canoa - R04 R05","Mostardas","2224615","Hospital Sao Luiz","0","0","-","0","0"
"04/05/2020 17:08","Lajeado - R29 R30","Taquari","9563873","Hospital Sao Jose","0","0","-","0","0"
"04/05/2020 17:02","Taquara - R06","Rolante","2257564","Fundacao Hospitalar De Rolante","0","0","-","0","0"
"04/05/2020 16:56","Passo Fundo - R17 R18 R19","Sananduva","2246767","Hospital Sao Joao Sananduva","0","0","-","0","0"
"04/05/2020 16:52","Santa Maria - R01 R02","Sao Pedro Do Sul","2244314","Hospital Municipal De Sao Pedro Do Sul","0","0","-","0","0"
"04/05/2020 16:48","Passo Fundo - R17 R18 R19","Sao Jose Do Ouro","2246791","Hospital Sao Jose","0","0","-","0","0"
"04/05/2020 16:47","Cruz Alta - R12","Salto Do Jacui","2263882","Hospital Municipal Dr Aderbal Schneider","0","0","-","0","0"
"04/05/2020 16:44","Palmeira Das Missoes - R15 R20","Palmeira Das Missoes","2235323","Hospital De Caridade Palmeira Das Missoes","0","0","-","0","0"
"04/05/2020 16:40","Pelotas - R21","Sao Lourenco Do Sul","2233312","Santa Casa De Miseric S Lourenco Do Sul","0","0","-","0","0"
"04/05/2020 16:38","Pelotas - R21","Cangucu","2232928","Hospital De Caridade De Cangucu","0","0","-","0","0"
"04/05/2020 16:34","Canoas - R08","Sapucaia Do Sul","2232162","Fundacao Hospitalar De Sapucaia Do Sul","13","8","61.5%","0","1"
"04/05/2020 16:33","Passo Fundo - R17 R18 R19","Soledade","2246961","Hospital Frei Clemente Soledade","0","0","-","0","0"
"04/05/2020 16:32","Palmeira Das Missoes - R15 R20","Frederico Westphalen","2228602","Hospital Divina Providencia Fredwest","10","3","30%","1","0"
"04/05/2020 16:31","Palmeira Das Missoes - R15 R20","Caicara","2228548","Hospital S Roque Caicara","0","0","-","0","0"
"04/05/2020 16:26","Novo Hamburgo - R07","Novo Hamburgo","3213943","Hospital Unimed","7","7","100%","2","1"
"04/05/2020 16:23","Novo Hamburgo - R07","Sao Leopoldo","2232022","Hospital Centenario","10","8","80%","0","2"
"04/05/2020 16:16","Lajeado - R29 R30","Teutonia","2252244","Hospital Ouro Branco","0","0","-","0","0"
"04/05/2020 16:14","Novo Hamburgo - R07","Portao","2232170","Hospital De Portao","0","0","-","0","0"
"04/05/2020 16:13","Uruguaiana - R03","Sant'ana Do Livramento","5395194","Prontomed Cti Centro De Tratamento Intensivo Ltda","6","3","50%","0","1"
"04/05/2020 16:09","Palmeira Das Missoes - R15 R20","Ronda Alta","2235412","Hospital Dos Trabalhadores Atra","0","0","-","0","0"
"04/05/2020 16:09","Lajeado - R29 R30","Cruzeiro Do Sul","2252074","Hospital Sao Gabriel Arcanjo","0","0","-","0","0"
"04/05/2020 16:07","Novo Hamburgo - R07","Ivoti","2232189","Hospital Sao Jose Ivoti","0","0","-","0","0"
"04/05/2020 16:06","Santa Maria - R01 R02","Jaguari","2244152","Irdesi De Jaguari","0","0","-","0","0"
"04/05/2020 16:04","Capao Da Canoa - R04 R05","Tramandai","2793008","Hospital Tramandai","10","9","90%","0","0"
"04/05/2020 16:00","Lajeado - R29 R30","Lajeado","2252287","Hospital Bruno Born","26","23","88.5%","10","1"
"04/05/2020 15:45","Passo Fundo - R17 R18 R19","Arvorezinha","2252163","Hospital Beneficente Sao Joao Arvorezinha","0","0","-","0","0"
"04/05/2020 15:41","Passo Fundo - R17 R18 R19","Passo Fundo","2246996","Hospital Municipal Passo Fundo","0","0","-","0","0"
"04/05/2020 15:36","Santo Angelo - R11","Santo Angelo","2259907","Hospital Santo Angelo","10","7","70%","0","1"
"04/05/2020 15:33","Erechim - R16","Erechim","2249669","Hospital Unimed Erechim","0","0","-","0","0"
"04/05/2020 15:29","Santa Cruz Do Sul - R28","Rio Pardo","2792974","Hospital Regional Do Vale Do Rio Pardo","0","0","-","0","0"
"04/05/2020 15:28","Porto Alegre - R09 R10","Porto Alegre","9570047","Hospital Bdw","2","0","0%","0","0"
"04/05/2020 15:16","Erechim - R16","Erechim","2249472","Hospital De Caridade De Erechim","8","0","0%","0","0"
"04/05/2020 15:16","Santa Cruz Do Sul - R28","Candelaria","2236362","Hospital Candelaria","0","0","-","0","0"
"04/05/2020 15:15","Passo Fundo - R17 R18 R19","Espumoso","2246813","Hospital Notre Dame Sao Sebastiao","0","0","-","0","0"
"04/05/2020 15:13","Ijui - R13","Ajuricaba","2265885","Hospital Ajuricaba","0","0","-","0","0"
"04/05/2020 14:50","Santo Angelo - R11","Porto Xavier","2259982","Hospital De Porto Xavier","0","0","-","0","0"
"04/05/2020 14:47","Passo Fundo - R17 R18 R19","David Canabarro","2246937","Hospital Sao Jose David Canabarro","0","0","-","0","0"
"04/05/2020 14:44","Santa Maria - R01 R02","Cacequi","5699525","Asso","0","0","-","0","0"
"04/05/2020 14:42","Erechim - R16","Viadutos","2249537","Hospital N S Da Pompeia Viadutos","0","0","-","0","0"
"04/05/2020 14:42","Cruz Alta - R12","Selbach","2238810","Hospital Sao Jacob","0","0","-","0","0"
"04/05/2020 14:40","Cachoeira Do Sul - R27","Encruzilhada Do Sul","2234432","Hospital Santa Barbara","0","0","-","0","0"
"04/05/2020 14:38","Santa Maria - R01 R02","Santa Maria","9575936","Hospital Regional De Santa Maria","10","0","0%","0","0"
"04/05/2020 14:35","Novo Hamburgo - R07","Campo Bom","2232073","Hospital De Campo Bom Dr Lauro Reus","10","7","70%","0","0"
"04/05/2020 14:34","Passo Fundo - R17 R18 R19","Paim Filho","2247046","Hospital Santa Terezinha Paim Filho","0","0","-","0","0"
"04/05/2020 14:32","Palmeira Das Missoes - R15 R20","Trindade Do Sul","2235366","Sociedade Cultural E Beneficente Santa Rosa De Lima","0","0","-","0","0"
"04/05/2020 14:30","Santa Maria - R01 R02","Pinhal Grande","2244209","Casa De Saude Sao Jose","0","0","-","0","0"
"04/05/2020 14:16","Caxias Do Sul - R23 R24 R25 R26","Caxias Do Sul","2223538","Hospital Geral","10","10","100%","0","2"
"04/05/2020 14:16","Cruz Alta - R12","Tupancireta","2244225","Hospital De Caridade Brasilina Terra","0","0","-","0","0"
"04/05/2020 14:08","Santa Maria - R01 R02","Santa Maria","2244306","Husm Hospital Universitario De Santa Maria","14","13","92.9%","3","4"
"04/05/2020 14:07","Porto Alegre - R09 R10","Porto Alegre","2237571","Hospital Nossa Senhora Da Conceicao Sa","69","51","73.9%","10","3"
"04/05/2020 14:04","Pelotas - R21","Herval","2233436","Hospital Nossa Senhora Da Gloria","0","0","-","0","0"
"04/05/2020 14:02","Porto Alegre - R09 R10","Porto Alegre","2265052","Hospital Femina","4","1","25%","0","0"
"04/05/2020 13:59","Novo Hamburgo - R07","Novo Hamburgo","2232146","Fundacao De Saude Publica De Novo Hamburgo Fsnh","10","10","100%","2","0"
"04/05/2020 13:58","Porto Alegre - R09 R10","Porto Alegre","2262568","Hospital Sao Lucas Da Pucrs","59","36","61%","2","3"
"04/05/2020 13:57","Santa Rosa - R14","Santa Rosa","2254611","Hospital Vida Saude","10","7","70%","0","0"
"04/05/2020 13:57","Porto Alegre - R09 R10","Camaqua","2257548","Hospital Nossa Senhora Aparecida De Camaqua","0","0","-","0","0"
"04/05/2020 13:55","Santa Rosa - R14","Santa Rosa","3017060","Hospital Vida Saude","10","5","50%","2","3"
"04/05/2020 13:52","Cachoeira Do Sul - R27","Cachoeira Do Sul","2266474","Hospital De Caridade E Beneficencia","10","4","40%","0","0"
"04/05/2020 13:51","Caxias Do Sul - R23 R24 R25 R26","Carlos Barbosa","2241137","Hospital Sao Roque","0","0","-","0","0"
"04/05/2020 13:50","Cruz Alta - R12","Saldanha Marinho","2263874","Hospital Municipal Saldanha Marinho","0","0","-","0","0"
"04/05/2020 13:49","Caxias Do Sul - R23 R24 R25 R26","Bento Goncalves","2241021","Hospital Tacchini","30","21","70%","7","3"
"04/05/2020 13:46","Porto Alegre - R09 R10","Porto Alegre","2237156","Hbmpa","20","2","10%","0","0"
"04/05/2020 13:45","Taquara - R06","Sao Francisco De Paula","2227770","Hospital Sao Francisco De Paula","0","0","-","0","0"
"04/05/2020 13:44","Ijui - R13","Condor","2261111","Hospital De Condor","0","0","-","0","0"
"04/05/2020 13:43","Porto Alegre - R09 R10","Porto Alegre","2237598","Hospital Divina Providencia","12","9","75%","1","0"
"04/05/2020 13:40","Ijui - R13","Santo Augusto","2261065","Hospital Bom Pastor","0","0","-","0","0"
"04/05/2020 13:39","Porto Alegre - R09 R10","Porto Alegre","2237253","Irmandade Da Santa Casa De Misericordia De Porto Alegre","87","73","83.9%","0","1"
"04/05/2020 13:37","Santo Angelo - R11","Guarani Das Missoes","2259931","Hospital Santa Teresa Guarani Das Missoes","0","0","-","0","0"
"04/05/2020 13:36","Ijui - R13","Campo Novo","2261154","Hospicampo","0","0","-","0","0"
"04/05/2020 13:34","Palmeira Das Missoes - R15 R20","Tenente Portela","5384117","Hospital Santo Antonio Tenente Portela","10","7","70%","0","2"
"04/05/2020 13:33","Cachoeira Do Sul - R27","Arroio Do Tigre","2234424","Hospital Santa Rosa De Lima","0","0","-","0","0"
"04/05/2020 13:32","Palmeira Das Missoes - R15 R20","Rondinha","2235447","Hospital Padre Eugenio","0","0","-","0","0"
"04/05/2020 13:32","Pelotas - R21","Piratini","2233347","Hospital De Caridade Nossa Senhora Da Conceicao Piratini","0","0","-","0","0"
"04/05/2020 13:30","Porto Alegre - R09 R10","Porto Alegre","3006522","Hospital Moinhos De Vento","56","39","69.6%","8","3"
"04/05/2020 13:30","Palmeira Das Missoes - R15 R20","Seberi","2228610","Hospital Pio Xii Seberi","0","0","-","0","0"
"04/05/2020 13:28","Santa Rosa - R14","Santo Cristo","2250829","Hospital De Caridade De Santo Cristo","0","0","-","0","0"
"04/05/2020 13:22","Porto Alegre - R09 R10","Porto Alegre","2237849","Instituto De Cardiologia","51","23","45.1%","0","0"
"04/05/2020 13:20","Palmeira Das Missoes - R15 R20","Irai","2228653","Hospital N S Auxiliadora Irai","0","0","-","0","0"
"04/05/2020 13:18","Caxias Do Sul - R23 R24 R25 R26","Canela","2235609","Hospital De Canela","0","0","-","0","0"
"04/05/2020 13:18","Lajeado - R29 R30","Dois Lajeados","2241013","Hospital De Caridade Sao Roque","0","0","-","0","0"
"04/05/2020 13:18","Caxias Do Sul - R23 R24 R25 R26","Nova Prata","2241161","Hospital Sao Joao Batista","0","0","-","0","0"
"04/05/2020 13:17","Porto Alegre - R09 R10","Porto Alegre","2237601","Hospital De Clinicas","82","55","67.1%","8","1"
"04/05/2020 13:12","Caxias Do Sul - R23 R24 R25 R26","Caxias Do Sul","3356868","Hospital Unimed Caxias Do Sul","20","16","80%","4","0"
"04/05/2020 13:10","Cruz Alta - R12","Ibiruba","5395674","Hospital Annes Dias","0","0","-","0","0"
"04/05/2020 13:10","Caxias Do Sul - R23 R24 R25 R26","Caxias Do Sul","9728317","Hospital Unimed Unidade Materno Infantil","0","0","-","0","0"
"04/05/2020 12:55","Santa Cruz Do Sul - R28","Santa Cruz Do Sul","2254964","Hospital Santa Cruz","10","9","90%","1","0"
"04/05/2020 12:49","Caxias Do Sul - R23 R24 R25 R26","Flores Da Cunha","2241145","Hospital Fatima","0","0","-","0","0"
"04/05/2020 12:46","Cachoeira Do Sul - R27","Cacapava Do Sul","2234416","Hospital De Caridade Dr Victor Lang","0","0","-","0","0"
"04/05/2020 12:45","Taquara - R06","Taquara","2227932","Hospital Bom Jesus","10","5","50%","0","0"
"04/05/2020 12:39","Uruguaiana - R03","Uruguaiana","2248190","Santa Casa De Uruguaiana","16","8","50%","0","0"
"04/05/2020 12:38","Santo Angelo - R11","Roque Gonzales","2259974","Hospital Santo Antonio Roque Gonzales","0","0","-","0","0"
"04/05/2020 12:32","Canoas - R08","Montenegro","2227959","Hospital Unimed Vale Do Cai","9","4","44.4%","1","2"
"04/05/2020 12:24","Taquara - R06","Parobe","2227762","Hospital Sao Francisco De Assis","0","0","-","0","0"
"04/05/2020 12:21","Pelotas - R21","Pedro Osorio","2233339","Santa Casa De Misericordia De Pedro Osorio","0","0","-","0","0"
"04/05/2020 12:18","Santa Cruz Do Sul - R28","Vale Do Sol","2236338","Hospital Vale Do Sol","0","0","-","0","0"
"04/05/2020 12:17","Palmeira Das Missoes - R15 R20","Planalto","2228556","Hospital Medianeira Planalto","0","0","-","0","0"
"04/05/2020 12:15","Porto Alegre - R09 R10","Porto Alegre","3567664","Hospital Ernesto Dornelles","40","35","87.5%","4","4"
"04/05/2020 12:13","Novo Hamburgo - R07","Novo Hamburgo","2232057","Hospital Regina Novo Hamburgo","17","8","47.1%","1","1"
"04/05/2020 12:13","Pelotas - R21","Rio Grande","2707675","Hospital Universitario Dr Miguel Riet Correa Jr","6","5","83.3%","0","0"
"04/05/2020 12:12","Santa Rosa - R14","Sao Paulo Das Missoes","2250713","Hospital De Caridade Sao Paulo Sao Paulo Das Missoes","0","0","-","0","0"
"04/05/2020 12:10","Passo Fundo - R17 R18 R19","Sertao","2246805","Hospital Sao Jose Sertao","0","0","-","0","0"
"04/05/2020 12:07","Santa Cruz Do Sul - R28","Venancio Aires","2236370","Hospital Sao Sebastiao Martir","10","9","90%","3","0"
"04/05/2020 12:06","Santa Maria - R01 R02","Nova Palma","2244128","Hospital Nossa Senhora Da Piedade","0","0","-","0","0"
"04/05/2020 12:05","Caxias Do Sul - R23 R24 R25 R26","Bom Principio","2241129","Hospital Sao Pedro Canisio","0","0","-","0","0"
"04/05/2020 12:05","Porto Alegre - R09 R10","Porto Alegre","2693801","Associacao Hospitalar Vila Nova","20","17","85%","0","0"
"04/05/2020 12:00","Caxias Do Sul - R23 R24 R25 R26","Garibaldi","2257645","Hospital Sao Pedro","0","0","-","0","0"
"04/05/2020 11:58","Santo Angelo - R11","Sao Miguel Das Missoes","2259877","Hospital Sao Miguel Arcanjo","0","0","-","0","0"
"04/05/2020 11:58","Santa Maria - R01 R02","Sao Sepe","2244322","Hospital Santo Antonio","0","0","-","0","0"
"04/05/2020 11:58","Santa Maria - R01 R02","Santa Maria","5922216","Hospital Casa De Saude","0","0","-","0","0"
"04/05/2020 11:51","Santa Rosa - R14","Alecrim","2707993","Hospital De Caridade De Alecrim","0","0","-","0","0"
"04/05/2020 11:44","Palmeira Das Missoes - R15 R20","Ronda Alta","2235420","Associacao Hospitalar De Ronda Alta","0","0","-","0","0"
"04/05/2020 11:41","Porto Alegre - R09 R10","Porto Alegre","2778718","Hps","20","19","95%","0","0"
"04/05/2020 11:40","Cruz Alta - R12","Cruz Alta","2263858","Hospital De Caridade Sao Vicente De Paulo","10","10","100%","0","0"
"04/05/2020 11:31","Passo Fundo - R17 R18 R19","Lagoa Vermelha","3819590","Hospital Sao Paulo","0","0","-","0","0"
"04/05/2020 11:30","Porto Alegre - R09 R10","Cachoeirinha","2232103","Hospital Padre Jeremias","0","0","-","0","0"
"04/05/2020 11:30","Pelotas - R21","Pelotas","2252295","Sociedade Portuguesa De Beneficencia","20","15","75%","0","0"
"04/05/2020 11:28","Pelotas - R21","Jaguarao","2233401","Santa Casa De Caridade Jaguarao","0","0","-","0","0"
"04/05/2020 11:26","Porto Alegre - R09 R10","Porto Alegre","2265060","Hospital Cristo Redentor","47","22","46.8%","0","0"
"04/05/2020 11:26","Santa Rosa - R14","Candido Godoi","2250675","Hospital Santo Afonso","0","0","-","0","0"
"04/05/2020 11:18","Cruz Alta - R12","Quinze De Novembro","2263831","Associacao Hospitalar 15 De Novembro","0","0","-","0","0"
"04/05/2020 11:17","Canoas - R08","Salvador Do Sul","2227681","Hospital Sao Salvador","0","0","-","0","0"
"04/05/2020 11:16","Lajeado - R29 R30","Nova Brescia","2252112","Hospital Sao Joao Batista Nova Brescia","0","0","-","0","0"
"04/05/2020 11:14","Erechim - R16","Erechim","2707918","Fundacao Hospitalar Santa Terezinha De Erechim","16","8","50%","2","1"
"04/05/2020 11:12","Pelotas - R21","Rio Grande","2232995","Santa Casa Do Rio Grande","30","21","70%","0","3"
"04/05/2020 11:12","Caxias Do Sul - R23 R24 R25 R26","Farroupilha","2240335","Hospital Sao Carlos","10","6","60%","1","0"
"04/05/2020 11:11","Caxias Do Sul - R23 R24 R25 R26","Sao Marcos","2241226","Hospital Beneficente Sao Joao Bosco","0","0","-","0","0"
"04/05/2020 11:08","Santo Angelo - R11","Cerro Largo","2259869","Hospital De Caridade Serro Azul","0","0","-","0","0"
"04/05/2020 11:08","Capao Da Canoa - R04 R05","Capao Da Canoa","2707969","Hospital Beneficiente Santa Luzia","10","7","70%","0","1"
"04/05/2020 11:07","Porto Alegre - R09 R10","Porto Alegre","3007847","Hospital Mae De Deus","50","31","62%","1","6"
"04/05/2020 11:06","Caxias Do Sul - R23 R24 R25 R26","Caxias Do Sul","2223546","Hospital Pompeia","30","24","80%","2","3"
"04/05/2020 11:06","Santa Maria - R01 R02","Santa Maria","5433509","Hospital Geral Unimed","0","0","-","0","0"
"04/05/2020 11:05","Canoas - R08","Esteio","2232030","Fundacao De Saude Publica Sao Camilo De Esteio","8","6","75%","0","0"
"04/05/2020 11:05","Pelotas - R21","Santa Vitoria Do Palmar","2233398","Irmandade S Casa De Misericordia De S V Palmar","0","0","-","0","0"
"04/05/2020 11:03","Santa Rosa - R14","Tuparendi","5729297","Cams","0","0","-","0","0"
"04/05/2020 11:01","Porto Alegre - R09 R10","Gravatai","2232049","Hospital Dom Joao Becker","10","9","90%","0","0"
"04/05/2020 11:00","Porto Alegre - R09 R10","Charqueadas","9528792","Hospital De Charqueadas","0","0","-","0","0"
"04/05/2020 11:00","Bage - R22","Acegua","2262010","Hospital Da Colonia Nova","0","0","-","0","0"
"04/05/2020 10:59","Pelotas - R21","Pelotas","2252694","Hospital Escola Da Universidade Federal De Pelotas","11","4","36.4%","0","0"
"04/05/2020 10:56","Bage - R22","Dom Pedrito","2262002","Hospital Sao Luiz","10","0","0%","0","0"
"04/05/2020 10:53","Ijui - R13","Ijui","3506959","Hospital Unimed","6","0","0%","0","0"
"04/05/2020 10:53","Santa Maria - R01 R02","Restinga Seca","2244233","Hospital De Caridade Sao Francisco","0","0","-","0","0"
"04/05/2020 10:52","Passo Fundo - R17 R18 R19","Nao-me-toque","2246910","Hospital Alto Jacui Nao Me Toque","0","0","-","0","0"
"04/05/2020 10:50","Porto Alegre - R09 R10","Porto Alegre","2237822","Hospital Materno Infantil Presidente Vargas","0","0","-","0","0"
"04/05/2020 10:46","Porto Alegre - R09 R10","Porto Alegre","7513151","Hospital Restinga E Extremo Sul","10","9","90%","0","0"
"04/05/2020 10:45","Lajeado - R29 R30","Putinga","2252171","Hospital Doutor Oscar Benevolo","0","0","-","0","0"
"04/05/2020 10:43","Lajeado - R29 R30","Anta Gorda","9309470","Hospital Padre Catelli","0","0","-","0","0"
"04/05/2020 10:40","Porto Alegre - R09 R10","Porto Alegre","6295320","Aesc Hospital Santa Ana","10","6","60%","0","0"
"04/05/2020 10:39","Santa Maria - R01 R02","Santa Maria","2244292","Hospital Sao Francisco De Assis","10","1","10%","0","0"
"04/05/2020 10:38","Ijui - R13","Panambi","2254956","Hospital Panambi","0","0","-","0","0"
"04/05/2020 10:33","Santa Maria - R01 R02","Faxinal Do Soturno","2244101","Hospital De Caridade Sao Roque","0","0","-","0","0"
"04/05/2020 10:32","Capao Da Canoa - R04 R05","Torres","2707950","Hospital Beneficente Nossa Senhora Dos Navegantes","5","5","100%","0","1"
"04/05/2020 10:31","Porto Alegre - R09 R10","Porto Alegre","7092571","Hospital Independencia","10","6","60%","0","0"
"04/05/2020 10:28","Lajeado - R29 R30","Bom Retiro Do Sul","2252023","Hospital De Caridade Santana Bom Retiro Do Sul","0","0","-","0","0"
"04/05/2020 10:28","Santa Rosa - R14","Porto Lucena","2250810","Hospital Sao Jose Porto Lucena Rs","0","0","-","0","0"
"04/05/2020 10:25","Passo Fundo - R17 R18 R19","Tapera","2246783","Hospital Roque Gonzales Tapera","0","0","-","0","0"
"04/05/2020 10:25","Novo Hamburgo - R07","Sapiranga","2232154","Hospital Sapiranga","7","7","100%","0","1"
"04/05/2020 10:24","Palmeira Das Missoes - R15 R20","Jaboticaba","2235315","Hospital Santa Rita D Jaboticaba","0","0","-","0","0"
"04/05/2020 10:24","Passo Fundo - R17 R18 R19","Passo Fundo","2246988","Hospital Sao Vicente De Paulo","52","48","92.3%","8","9"
"04/05/2020 10:20","Pelotas - R21","Sao Jose Do Norte","2233355","Hospital Municipal Sao Jose Do Norte","0","0","-","0","0"
"04/05/2020 10:18","Erechim - R16","Estacao","2249626","Hospital Santo Antonio Estacao","0","0","-","0","0"
"04/05/2020 10:13","Palmeira Das Missoes - R15 R20","Chapada","2235307","Hospital Sao Jose Chapada","0","0","-","0","0"
"04/05/2020 10:08","Caxias Do Sul - R23 R24 R25 R26","Caxias Do Sul","2223562","Hospital Virvi Ramos","10","7","70%","1","1"
"04/05/2020 10:03","Passo Fundo - R17 R18 R19","Passo Fundo","3141330","Hospital De Prontoclinicas Ltda","9","4","44.4%","1","1"
"04/05/2020 10:03","Caxias Do Sul - R23 R24 R25 R26","Caxias Do Sul","2223597","Hospital Saude","10","6","60%","0","1"
"04/05/2020 10:00","Canoas - R08","Sao Sebastiao Do Cai","2227908","Hospital Sagrada Familia","0","0","-","0","0"
"04/05/2020 09:59","Santa Maria - R01 R02","Santa Maria","2244144","Hospital Da Brigada Militar De Santa Maria","0","0","-","0","0"
